Beginning training
C:\Users\harry\Anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 4.63475
Epoch 02: | Train Loss: 4.60012
Epoch 03: | Train Loss: 4.56589
Epoch 04: | Train Loss: 4.53205
Epoch 05: | Train Loss: 4.49859
Epoch 06: | Train Loss: 4.46547
Epoch 07: | Train Loss: 4.43270
Epoch 08: | Train Loss: 4.40024
Epoch 09: | Train Loss: 4.36808
Epoch 10: | Train Loss: 4.33622
Epoch 11: | Train Loss: 4.30462
Epoch 12: | Train Loss: 4.27327
Epoch 13: | Train Loss: 4.24214
Epoch 14: | Train Loss: 4.21126
Epoch 15: | Train Loss: 4.18062
Epoch 16: | Train Loss: 4.15022
Epoch 17: | Train Loss: 4.12006
Epoch 18: | Train Loss: 4.09014
Epoch 19: | Train Loss: 4.06040
Epoch 20: | Train Loss: 4.03086
Epoch 21: | Train Loss: 4.00150
Epoch 22: | Train Loss: 3.97234
Epoch 23: | Train Loss: 3.94335
Epoch 24: | Train Loss: 3.91449
Epoch 25: | Train Loss: 3.88579
Epoch 26: | Train Loss: 3.85717
Epoch 27: | Train Loss: 3.82863
Epoch 28: | Train Loss: 3.80018
Epoch 29: | Train Loss: 3.77175
Epoch 30: | Train Loss: 3.74337
Epoch 31: | Train Loss: 3.71501
Epoch 32: | Train Loss: 3.68665
Epoch 33: | Train Loss: 3.65827
Epoch 34: | Train Loss: 3.62986
Epoch 35: | Train Loss: 3.60143
Epoch 36: | Train Loss: 3.57294
Epoch 37: | Train Loss: 3.54442
Epoch 38: | Train Loss: 3.51585
Epoch 39: | Train Loss: 3.48721
Epoch 40: | Train Loss: 3.45853
Epoch 41: | Train Loss: 3.42976
Epoch 42: | Train Loss: 3.40093
Epoch 43: | Train Loss: 3.37207
Epoch 44: | Train Loss: 3.34311
Epoch 45: | Train Loss: 3.31410
Epoch 46: | Train Loss: 3.28503
Epoch 47: | Train Loss: 3.25589
Epoch 48: | Train Loss: 3.22672
Epoch 49: | Train Loss: 3.19749
Epoch 50: | Train Loss: 3.16823
Epoch 51: | Train Loss: 3.13890
Epoch 52: | Train Loss: 3.10957
Epoch 53: | Train Loss: 3.08021
Epoch 54: | Train Loss: 3.05083
Epoch 55: | Train Loss: 3.02141
Epoch 56: | Train Loss: 2.99197
Epoch 57: | Train Loss: 2.96250
Epoch 58: | Train Loss: 2.93302
Epoch 59: | Train Loss: 2.90353
Epoch 60: | Train Loss: 2.87404
Epoch 61: | Train Loss: 2.84453
Epoch 62: | Train Loss: 2.81502
Epoch 63: | Train Loss: 2.78549
Epoch 64: | Train Loss: 2.75596
Epoch 65: | Train Loss: 2.72642
Epoch 66: | Train Loss: 2.69689
Epoch 67: | Train Loss: 2.66739
Epoch 68: | Train Loss: 2.63787
Epoch 69: | Train Loss: 2.60837
Epoch 70: | Train Loss: 2.57885
Epoch 71: | Train Loss: 2.54933
Epoch 72: | Train Loss: 2.51984
Epoch 73: | Train Loss: 2.49032
Epoch 74: | Train Loss: 2.46083
Epoch 75: | Train Loss: 2.43136
Epoch 76: | Train Loss: 2.40193
Epoch 77: | Train Loss: 2.37245
Epoch 78: | Train Loss: 2.34307
Epoch 79: | Train Loss: 2.31366
Epoch 80: | Train Loss: 2.28429
Epoch 81: | Train Loss: 2.25497
Epoch 82: | Train Loss: 2.22568
Epoch 83: | Train Loss: 2.19642
Epoch 84: | Train Loss: 2.16727
Epoch 85: | Train Loss: 2.13816
Epoch 86: | Train Loss: 2.10912
Epoch 87: | Train Loss: 2.08016
Epoch 88: | Train Loss: 2.05128
Epoch 89: | Train Loss: 2.02252
Epoch 90: | Train Loss: 1.99387
Epoch 91: | Train Loss: 1.96530
Epoch 92: | Train Loss: 1.93687
Epoch 93: | Train Loss: 1.90850
Epoch 94: | Train Loss: 1.88030
Epoch 95: | Train Loss: 1.85221
Epoch 96: | Train Loss: 1.82427
Epoch 97: | Train Loss: 1.79648
Epoch 98: | Train Loss: 1.76884
Epoch 99: | Train Loss: 1.74138
Epoch 100: | Train Loss: 1.71409
Finished Training
