Beginning training
C:\Users\harry\Anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 4.57070
Epoch 02: | Train Loss: 4.54985
Epoch 03: | Train Loss: 4.53033
Epoch 04: | Train Loss: 4.50996
Epoch 05: | Train Loss: 4.49060
Epoch 06: | Train Loss: 4.47132
Epoch 07: | Train Loss: 4.45088
Epoch 08: | Train Loss: 4.43147
Epoch 09: | Train Loss: 4.41049
Epoch 10: | Train Loss: 4.38993
Epoch 11: | Train Loss: 4.36803
Epoch 12: | Train Loss: 4.34531
Epoch 13: | Train Loss: 4.32182
Epoch 14: | Train Loss: 4.29757
Epoch 15: | Train Loss: 4.27088
Epoch 16: | Train Loss: 4.24340
Epoch 17: | Train Loss: 4.21424
Epoch 18: | Train Loss: 4.18290
Epoch 19: | Train Loss: 4.14977
Epoch 20: | Train Loss: 4.11478
Epoch 21: | Train Loss: 4.07692
Epoch 22: | Train Loss: 4.03572
Epoch 23: | Train Loss: 3.99252
Epoch 24: | Train Loss: 3.94623
Epoch 25: | Train Loss: 3.89719
Epoch 26: | Train Loss: 3.84501
Epoch 27: | Train Loss: 3.79051
Epoch 28: | Train Loss: 3.73318
Epoch 29: | Train Loss: 3.67290
Epoch 30: | Train Loss: 3.61152
Epoch 31: | Train Loss: 3.54831
Epoch 32: | Train Loss: 3.48425
Epoch 33: | Train Loss: 3.41932
Epoch 34: | Train Loss: 3.35478
Epoch 35: | Train Loss: 3.29125
Epoch 36: | Train Loss: 3.22856
Epoch 37: | Train Loss: 3.16775
Epoch 38: | Train Loss: 3.10888
Epoch 39: | Train Loss: 3.05274
Epoch 40: | Train Loss: 2.99897
Epoch 41: | Train Loss: 2.94781
Epoch 42: | Train Loss: 2.89937
Epoch 43: | Train Loss: 2.85340
Epoch 44: | Train Loss: 2.81088
Epoch 45: | Train Loss: 2.77102
Epoch 46: | Train Loss: 2.73351
Epoch 47: | Train Loss: 2.69907
Epoch 48: | Train Loss: 2.66681
Epoch 49: | Train Loss: 2.63704
Epoch 50: | Train Loss: 2.60956
Epoch 51: | Train Loss: 2.58391
Epoch 52: | Train Loss: 2.56100
Epoch 53: | Train Loss: 2.53893
Epoch 54: | Train Loss: 2.51948
Epoch 55: | Train Loss: 2.50143
Epoch 56: | Train Loss: 2.48512
Epoch 57: | Train Loss: 2.47044
Epoch 58: | Train Loss: 2.45694
Epoch 59: | Train Loss: 2.44480
Epoch 60: | Train Loss: 2.43423
Epoch 61: | Train Loss: 2.42434
Epoch 62: | Train Loss: 2.41498
Epoch 63: | Train Loss: 2.40691
Epoch 64: | Train Loss: 2.39996
Epoch 65: | Train Loss: 2.39333
Epoch 66: | Train Loss: 2.38698
Epoch 67: | Train Loss: 2.38163
Epoch 68: | Train Loss: 2.37645
Epoch 69: | Train Loss: 2.37205
Epoch 70: | Train Loss: 2.36773
Epoch 71: | Train Loss: 2.36354
Epoch 72: | Train Loss: 2.36001
Epoch 73: | Train Loss: 2.35660
Epoch 74: | Train Loss: 2.35328
Epoch 75: | Train Loss: 2.35058
Epoch 76: | Train Loss: 2.34715
Epoch 77: | Train Loss: 2.34453
Epoch 78: | Train Loss: 2.34184
Epoch 79: | Train Loss: 2.33983
Epoch 80: | Train Loss: 2.33727
Epoch 81: | Train Loss: 2.33545
Epoch 82: | Train Loss: 2.33306
Epoch 83: | Train Loss: 2.33122
Epoch 84: | Train Loss: 2.32963
Epoch 85: | Train Loss: 2.32799
Epoch 86: | Train Loss: 2.32646
Epoch 87: | Train Loss: 2.32482
Epoch 88: | Train Loss: 2.32355
Epoch 89: | Train Loss: 2.32216
Epoch 90: | Train Loss: 2.32087
Epoch 91: | Train Loss: 2.31966
Epoch 92: | Train Loss: 2.31849
Epoch 93: | Train Loss: 2.31741
Epoch 94: | Train Loss: 2.31640
Epoch 95: | Train Loss: 2.31544
Epoch 96: | Train Loss: 2.31454
Epoch 97: | Train Loss: 2.31377
Epoch 98: | Train Loss: 2.31286
Epoch 99: | Train Loss: 2.31153
Epoch 100: | Train Loss: 2.31086
Finished Training
