Beginning training
C:\Users\harry\Anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:760: UserWarning: Using non-full backward hooks on a Module that does not return a single Tensor or a tuple of Tensors is deprecated and will be removed in future versions. This hook will be missing some of the grad_output. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using non-full backward hooks on a Module that does not return a "
C:\Users\harry\Anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 3.10997 | Val Loss: 3.11031
Epoch 02: | Train Loss: 3.09195 | Val Loss: 3.10806
Epoch 03: | Train Loss: 3.08947 | Val Loss: 3.10759
Epoch 04: | Train Loss: 3.08749 | Val Loss: 3.10744
Epoch 05: | Train Loss: 3.08376 | Val Loss: 3.10706
Epoch 06: | Train Loss: 3.08560 | Val Loss: 3.10780
Epoch 07: | Train Loss: 3.06684 | Val Loss: 3.07865
Epoch 08: | Train Loss: 2.85769 | Val Loss: 2.85300
Epoch 09: | Train Loss: 2.60624 | Val Loss: 2.60148
Epoch 10: | Train Loss: 2.48176 | Val Loss: 2.48816
Finished Training
