Beginning training
C:\Users\harry\Anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:760: UserWarning: Using non-full backward hooks on a Module that does not return a single Tensor or a tuple of Tensors is deprecated and will be removed in future versions. This hook will be missing some of the grad_output. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using non-full backward hooks on a Module that does not return a "
C:\Users\harry\Anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 3.15596 | Val Loss: 3.05026
Epoch 02: | Train Loss: 3.11572 | Val Loss: 3.04244
Epoch 03: | Train Loss: 3.09935 | Val Loss: 3.04048
Epoch 04: | Train Loss: 3.09834 | Val Loss: 3.04007
Epoch 05: | Train Loss: 3.09992 | Val Loss: 3.03983
Epoch 06: | Train Loss: 3.09003 | Val Loss: 3.03982
Epoch 07: | Train Loss: 3.09103 | Val Loss: 3.03967
Epoch 08: | Train Loss: 3.09162 | Val Loss: 3.04060
Epoch 09: | Train Loss: 3.09329 | Val Loss: 3.04023
Epoch 10: | Train Loss: 3.09218 | Val Loss: 3.04045
Epoch 11: | Train Loss: 3.09190 | Val Loss: 3.04059
Epoch 12: | Train Loss: 3.08961 | Val Loss: 3.04033
Epoch 13: | Train Loss: 3.08904 | Val Loss: 3.03593
Epoch 14: | Train Loss: 3.07590 | Val Loss: 3.01501
Epoch 15: | Train Loss: 3.04110 | Val Loss: 2.95979
Epoch 16: | Train Loss: 3.00002 | Val Loss: 2.90642
Epoch 17: | Train Loss: 2.97508 | Val Loss: 2.87888
Epoch 18: | Train Loss: 2.94227 | Val Loss: 2.85650
Epoch 19: | Train Loss: 2.92216 | Val Loss: 2.84210
Epoch 20: | Train Loss: 2.91270 | Val Loss: 2.81697
Epoch 21: | Train Loss: 2.89608 | Val Loss: 2.79693
Epoch 22: | Train Loss: 2.86984 | Val Loss: 2.76004
Epoch 23: | Train Loss: 2.83257 | Val Loss: 2.68485
Epoch 24: | Train Loss: 2.78850 | Val Loss: 2.64635
