Beginning training
C:\Users\harry\Anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:760: UserWarning: Using non-full backward hooks on a Module that does not return a single Tensor or a tuple of Tensors is deprecated and will be removed in future versions. This hook will be missing some of the grad_output. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using non-full backward hooks on a Module that does not return a "
C:\Users\harry\Anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 2.73506 | Val Loss: 2.55968
Epoch 02: | Train Loss: 2.45551 | Val Loss: 2.26589
Epoch 03: | Train Loss: 2.39781 | Val Loss: 2.18450
Epoch 04: | Train Loss: 2.33872 | Val Loss: 2.14223
Epoch 05: | Train Loss: 2.31265 | Val Loss: 2.10044
Epoch 06: | Train Loss: 2.27689 | Val Loss: 2.07705
Epoch 07: | Train Loss: 2.26116 | Val Loss: 2.05115
Epoch 08: | Train Loss: 2.23757 | Val Loss: 2.03696
Epoch 09: | Train Loss: 2.22216 | Val Loss: 2.02144
Epoch 10: | Train Loss: 2.22199 | Val Loss: 2.00556
Epoch 11: | Train Loss: 2.21680 | Val Loss: 1.99888
Epoch 12: | Train Loss: 2.20035 | Val Loss: 1.99001
Epoch 13: | Train Loss: 2.20369 | Val Loss: 1.98080
Epoch 14: | Train Loss: 2.19334 | Val Loss: 1.97931
Epoch 15: | Train Loss: 2.19072 | Val Loss: 1.96984
Epoch 16: | Train Loss: 2.18490 | Val Loss: 1.96537
Epoch 17: | Train Loss: 2.18420 | Val Loss: 1.96478
Epoch 18: | Train Loss: 2.18273 | Val Loss: 1.95890
Epoch 19: | Train Loss: 2.16640 | Val Loss: 1.95519
Epoch 20: | Train Loss: 2.15835 | Val Loss: 1.95648
Epoch 21: | Train Loss: 2.16406 | Val Loss: 1.95218
Epoch 22: | Train Loss: 2.17041 | Val Loss: 1.94996
Epoch 23: | Train Loss: 2.17569 | Val Loss: 1.94359
Epoch 24: | Train Loss: 2.16301 | Val Loss: 1.94264
Epoch 25: | Train Loss: 2.15206 | Val Loss: 1.94616
Epoch 26: | Train Loss: 2.15423 | Val Loss: 1.93879
Epoch 27: | Train Loss: 2.15751 | Val Loss: 1.94165
Epoch 28: | Train Loss: 2.14511 | Val Loss: 1.93690
Epoch 29: | Train Loss: 2.14125 | Val Loss: 1.93681
Epoch 30: | Train Loss: 2.14357 | Val Loss: 1.93898
Epoch 31: | Train Loss: 2.13588 | Val Loss: 1.93571
Epoch 32: | Train Loss: 2.14560 | Val Loss: 1.93065
Epoch 33: | Train Loss: 2.14201 | Val Loss: 1.93569
Epoch 34: | Train Loss: 2.12884 | Val Loss: 1.92829
Epoch 35: | Train Loss: 2.13521 | Val Loss: 1.93021
Epoch 36: | Train Loss: 2.12825 | Val Loss: 1.92794
Epoch 37: | Train Loss: 2.13378 | Val Loss: 1.92315
Epoch 38: | Train Loss: 2.13588 | Val Loss: 1.92864
