Beginning training
C:\Users\harry\Anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:760: UserWarning: Using non-full backward hooks on a Module that does not return a single Tensor or a tuple of Tensors is deprecated and will be removed in future versions. This hook will be missing some of the grad_output. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using non-full backward hooks on a Module that does not return a "
C:\Users\harry\Anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 2.99700 | Val Loss: 2.91258
Epoch 02: | Train Loss: 2.95827 | Val Loss: 2.90270
Epoch 03: | Train Loss: 2.95583 | Val Loss: 2.90153
Epoch 04: | Train Loss: 2.95728 | Val Loss: 2.90176
Epoch 05: | Train Loss: 2.95501 | Val Loss: 2.90133
Epoch 06: | Train Loss: 2.95544 | Val Loss: 2.90111
Epoch 07: | Train Loss: 2.95136 | Val Loss: 2.90147
Epoch 08: | Train Loss: 2.95286 | Val Loss: 2.90142
Epoch 09: | Train Loss: 2.95056 | Val Loss: 2.89650
Epoch 10: | Train Loss: 2.89311 | Val Loss: 2.80527
Finished Training
