Beginning training
C:\Users\harry\Anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:760: UserWarning: Using non-full backward hooks on a Module that does not return a single Tensor or a tuple of Tensors is deprecated and will be removed in future versions. This hook will be missing some of the grad_output. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using non-full backward hooks on a Module that does not return a "
C:\Users\harry\Anaconda3\envs\ML38\lib\site-packages\torch\nn\modules\module.py:795: UserWarning: Using a non-full backward hook when the forward contains multiple autograd Nodes is deprecated and will be removed in future versions. This hook will be missing some grad_input. Please use register_full_backward_hook to get the documented behavior.
  warnings.warn("Using a non-full backward hook when the forward contains multiple autograd Nodes "
Epoch 01: | Train Loss: 2.99734 | Val Loss: 2.90949
Epoch 02: | Train Loss: 2.95838 | Val Loss: 2.90178
Epoch 03: | Train Loss: 2.95787 | Val Loss: 2.90151
Epoch 04: | Train Loss: 2.95731 | Val Loss: 2.90141
Epoch 05: | Train Loss: 2.95420 | Val Loss: 2.90140
Epoch 06: | Train Loss: 2.95431 | Val Loss: 2.90157
Epoch 07: | Train Loss: 2.95339 | Val Loss: 2.90174
Epoch 08: | Train Loss: 2.95281 | Val Loss: 2.90118
Epoch 09: | Train Loss: 2.95292 | Val Loss: 2.90131
Epoch 10: | Train Loss: 2.95006 | Val Loss: 2.90141
Epoch 11: | Train Loss: 2.94905 | Val Loss: 2.90127
Epoch 12: | Train Loss: 2.94996 | Val Loss: 2.90138
Epoch 13: | Train Loss: 2.94355 | Val Loss: 2.88829
Epoch 14: | Train Loss: 2.86275 | Val Loss: 2.76820
Epoch 15: | Train Loss: 2.79300 | Val Loss: 2.69263
Epoch 16: | Train Loss: 2.75408 | Val Loss: 2.64792
Epoch 17: | Train Loss: 2.70834 | Val Loss: 2.58223
Epoch 18: | Train Loss: 2.63733 | Val Loss: 2.49035
Epoch 19: | Train Loss: 2.55469 | Val Loss: 2.38396
Epoch 20: | Train Loss: 2.49361 | Val Loss: 2.31178
Finished Training
